Date,andrewsmartin (difference),danthelion (difference),dmohns (difference),Gr1f0n6x (difference),himikof (difference),honnix (difference),switzer (difference),Tarrasch (difference),tmattio (difference),yonromai (difference),TOTAL (difference),Repository,Commit SHA,Commit URL
01/02/2018 13:08:30,,,,,,,,,,,8,spotify/styx,f5b91c544d4aa0f29527413c02c2d021dfb2dee8,https://github.com/spotify/styx/commit/f5b91c544d4aa0f29527413c02c2d021dfb2dee8
01/02/2018 16:02:57,,,,,,,,,,,4,spotify/styx,1169414e818431df456464811618ad4e27e80db7,https://github.com/spotify/styx/commit/1169414e818431df456464811618ad4e27e80db7
01/02/2018 16:07:59,,,,,,,,,,,4,spotify/styx,283366c39c839e8ab600b181825e537f65817fbd,https://github.com/spotify/styx/commit/283366c39c839e8ab600b181825e537f65817fbd
01/02/2018 16:07:59,,,,,,,,,,,4,spotify/styx,822413d38f1a6ed40cb9e7dc9e737ec7a9153b06,https://github.com/spotify/styx/commit/822413d38f1a6ed40cb9e7dc9e737ec7a9153b06
01/04/2018 15:01:37,,,,,,,,,,,7,spotify/styx,5d6a91877a100fb650b39da5136697fce8b682d2,https://github.com/spotify/styx/commit/5d6a91877a100fb650b39da5136697fce8b682d2
01/04/2018 15:02:56,,,,,,,,,,,-18,spotify/styx,4188b36f8b99010df55fd20a8a1324f7113b25bd,https://github.com/spotify/styx/commit/4188b36f8b99010df55fd20a8a1324f7113b25bd
01/04/2018 16:50:12,,,,,,,,,,,-18,spotify/luigi,8fd2525682e463653e3a45705ac18d125f60f449,https://github.com/spotify/luigi/commit/8fd2525682e463653e3a45705ac18d125f60f449
01/10/2018 10:23:49,,,,,,,,,,,-4,spotify/styx,12250d096e516b45e683a35ab174bec1bc6cd278,https://github.com/spotify/styx/commit/12250d096e516b45e683a35ab174bec1bc6cd278
01/10/2018 10:30:00,,,,,,,,,,,3,spotify/styx,c142639d688930b61ccdb5fd02c119222b757ea1,https://github.com/spotify/styx/commit/c142639d688930b61ccdb5fd02c119222b757ea1
01/10/2018 13:44:36,,,,,,,,,,,71,spotify/styx,377f9473050882d3154b006b47b8a2be649eb7a4,https://github.com/spotify/styx/commit/377f9473050882d3154b006b47b8a2be649eb7a4
